sysid,sum_min,num_trip,pct_ttl_num_trips,yroverchange,year,assigned_month
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
3,0,0,0,0,2019,3
3,0,0,0,0,2019,3
3,15250229.77,1243697,0.537958219,,2019,3
3,0,0,0,0,2019,3
3,0,0,0,0,2019,3
3,10044375.15,846973,,,2019,3
3,5205854.617,396724,,,2019,3
3,0,0,0,0,2019,3
3,0,0,0,0,2019,3
1,0,0,0,0,2019,3
1,0,0,0,0,2019,3
1,1351115.233,94993,0.041088999,,2019,3
1,972664.9667,71426,,,2019,3
1,0,0,0,0,2019,3
1,0,0,0,0,2019,3
1,0,0,0,0,2019,3
1,378450.2667,23567,,,2019,3
1,0,0,0,0,2019,3
9999,327867.1833,38202,0.010474601,,2019,4
9999,0,0,0,0,2019,4
9999,0,0,0,0,2019,4
9999,315124.7667,37116,,,2019,4
9999,0,0,0,0,2019,4
9999,0,0,0,0,2019,4
9999,0,0,0,0,2019,4
9999,0,0,0,0,2019,4
9999,12742.41667,1086,,,2019,4
74,290757.3833,12966,0.003555146,,2019,4
74,252348,14241,0.960347967,,2019,4
74,131985.05,6883,0.972724703,,2019,4
74,131985.05,6883,,,2019,4
74,252348,14241,,,2019,4
74,290757.3833,12966,,,2019,4
74,0,0,0,0,2019,4
74,0,0,0,0,2019,4
74,0,0,0,0,2019,4
73,16031,588,0.039652033,,2019,4
73,346064,22665,0.006214513,,2019,4
73,2734,193,0.027275297,,2019,4
73,2734,193,,,2019,4
73,16031,588,,,2019,4
73,346064,22665,,,2019,4
73,0,0,0,0,2019,4
73,0,0,0,0,2019,4
73,0,0,0,0,2019,4
60,0,0,0,0,2019,4
60,4814429.1,302312,0.082890882,,2019,4
60,0,0,0,0,2019,4
60,4414194.05,280954,,,2019,4
60,0,0,0,0,2019,4
60,0,0,0,0,2019,4
60,0,0,0,0,2019,4
60,0,0,0,0,2019,4
60,400235.05,21358,,,2019,4
58,86987.98333,3805,0.001043292,,2019,4
58,0,0,0,0,2019,4
58,0,0,0,0,2019,4
58,0,0,0,0,2019,4
58,83979.2,3646,,,2019,4
58,0,0,0,0,2019,4
58,0,0,0,0,2019,4
58,0,0,0,0,2019,4
58,3008.783333,159,,,2019,4
56,6787713.317,394643,0.108207105,,2019,4
56,0,0,0,0,2019,4
56,0,0,0,0,2019,4
56,372070.2,24145,,,2019,4
56,0,0,0,0,2019,4
